CD,Count,,,,,
311,0,,,,,
313,0,,,,,
312,0,,,,,
304,0,,,,,
209,0,,,,,
212,0,,,,,
206,0,,,,,
208,0,,,,,
226,0,,,,,
317,0,,,,,
108,41440,,,,,
404,0,,,,,
414,0,,,,,
484,0,,,,,
211,0,,,,,
227,0,,,,,
316,0,,,,,
412,0,,,,,
405,0,,,,,
106,76419,,,,,
406,0,,,,,
205,0,,,,,
207,0,,,,,
482,0,,,,,
315,0,,,,,
401,12473,,,,,
503,0,,,,,
407,0,,,,,
104,119282,,,,,
105,161038,,,,,
309,1240,,,,,
306,36517,,,,,
201,0,,,,,
202,0,,,,,
305,0,,,,,
203,0,,,,,
204,0,,,,,
308,7917,,,,,
355,5455,,,,,
410,0,,,,,
483,0,,,,,
314,0,,,,,
481,0,,,,,
302,58655,,,,,
303,11591,,,,,
101,63590,,,,,
307,488,,,,,
310,0,,,,,
411,0,,,,,
413,0,,,,,
408,0,,,,,
409,0,,,,,
102,114262,,,,,
103,106812,,,,,
210,0,,,,,
228,0,,,,,
403,0,,,,,
480,0,,,,,
502,0,,,,,
501,0,,,,,
595,0,,,,,
318,0,,,,,
356,0,,,,,
301,47881,,,,,
402,7904,,,,,
109,5533,,,,,
107,53009,,,,,
111,13576,,,,,
164,24632,,,,,
110,6926,,,,,
112,0,,,,,